0	3	0	0	1	0	3	0	0	0	0	0	0	0	1	0	5	0	1	0	0	12	0	210	0	0	0	0	11	0	0	8	0	432	7	3	765	0	3	0	2	1	385	2	1	2005	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	54	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	419	32118	2844	80	4642	66111	1	402	3	116	0	210	7	10102	1	74562	39348	18550	2161	3096	13656	13843	102507	1558	209	516617	25258	8786	219	11065	137003	226872	126406	3009	70587	33389	7312	142548	38244	289386	13794	3049198	310269	30331	18909	60578	4924	23	0	2851666	1023603	97685	259538	15547	130905	1	2928303	4180	563747	20232	2056011	93	8	11950	1	88420	0	0	6	0	0	0	0	0	783	0	0	0	0	0	0	0	
0	90	103	155	14	17	659	3	12	0	0	0	4	0	886	0	9812	541	887	34	27	1122	18392	1255	16	117	3748	2	2166	204	6526	91842	30	1605	144	315882	3796	23	82560	1696	6790	3948	33771	57397	301	4	6186	116	2	0	712821	92395	16091	197363	79	590	0	404827	271	73064	15	116475	104	0	3410	0	618	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	
0	136	1091	122	25	244	5194	3	127	1	2	0	15	3	5622	0	14580	38	7822	374	8037	1058	9995	17161	33	48053	6772	57810	17288	237	83701	254925	68	17570	273	42874	8238	3686	55943	21052	36314	829	150072	138396	618	1246	19929	2363	48	0	558733	297427	89665	423322	257	18786	0	924163	1266	168352	10286	536234	2216	1	45226	24	2688	0	0	2	0	0	0	0	0	253	0	0	0	0	0	0	0	
0	51	15	8	4	2	99	0	6	5	2	0	0	0	178	0	2483	13	104	46	1	61	20	183	2	3	290826	173	2057	3	26249	699	1	12812	16	29952	170	5	2123	150	1977	20	89794	2323	684	2095	1771	24	8	0	78640	20261	567	63934	3842	3026	0	23387	15	78074	80	9806	11	0	3142	0	9	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	
0	0	0	0	20	0	50	1	7	0	0	0	2	0	99	0	281	28	96	35	1	4922	362	21	11	1	281	0	710	4	13	1538	10	44	37	3554	31	2	460	9	99	16	928	2345	14	2	42	31	0	0	29495	4461	80	5361	0	0	0	31307	4	71	2	671866	3	0	348	1	115	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
0	272	740	111	12	786	2988	1	57	4	0	0	2655	1	3031	0	51946	224	3043	376	225	256	418	4482	12	1266	47615	1	6865	87	5723	27469	39	1494	15	206817	3605	169	8119	213	27616	3989	73888	292927	4626	519	3382	375	19	0	740805	417440	31843	111570	13792	5	0	369355	2993	66036	27413	509774	64	1	10030	5	32290	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	
0	40	20	6	10	14	343	0	13	0	0	0	78	0	397	0	6947	37	1897	35	8	217	233	88	1	1	4653	12	11339	0	4	8945	25	2112	102	58680	2554	333	95078	142	1182	1682	198090	7508	47	4	377	158	19	0	314849	795672	432	254325	118	212	0	2394293	274	59412	95	3977	8	0	27695	0	20890	0	0	1	0	0	0	0	0	23	0	0	0	0	0	0	0	
0	149	2738	828	166	102	4684	32	2551	1	5	0	44	2	16589	0	40406	7394	27788	2630	28352	238	4042	3787	24	605	29957	86	9455	1	267	21254	15	5747	29773	982343	19654	612	46183	3924	90883	7455	78458	70382	12713	50	24689	8177	1674	0	1111794	436632	137241	142308	21	15	0	746182	2769	91854	697	283091	34	2	26016	0	81158	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	
0	91	136	4	6	28	6	21	13	1	1	0	1	4	15	0	2715	3881	2669	7	61	7	217	6	21	611	1088	1	4174	0	29	17138	5	162	10	1097	1323	0	1970	8	1073	9	8253	5612	4	8	50	13	13	0	52520	22746	14	27828	40	3	0	52312	0	8370	46	99	0	0	9606	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	8	20	40	8	1	59	5	0	2	0	0	0	3	37	0	170	0	70	3	3	44	1	78	3	2	22	2	2	4	0	13270	0	1623	10	46	6408	2	104	27	62	13	3022	30	17	0	152	16	1	0	69651	184	240	13	1	0	0	5251	15	56	1	240279	8	0	0	0	17	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	
0	19	520	497	156	810	3221	5	170	1	0	0	106	0	14538	0	113258	2783	34074	573	1821	1567	9427	4123	26	4	18808	9	917	3	37	22143	228	8002	590	253248	19817	13215	44087	5085	20816	639	54052	30947	983	29	32434	4228	4	0	1260760	1509379	3453	116335	832	13	1	650723	36	87347	94	330202	8	1	19	1	2168	0	0	1	0	0	0	0	0	480	0	0	0	0	0	0	0	
0	11	68	18	5	2	103	1	0	2	0	0	4	0	241	0	44389	290	1429	46	5	182	7463	276	2	0	651	38	0	0	182	15942	4	1631	14	51080	2241	85	6663	619	1277	62	635	16257	1290	0	1445	19	0	0	238072	180148	13537	11057	11	0	0	142420	18	16915	86	2538	17	0	1	0	13	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	
0	2	354	895	87	73	776	0	772	1	1	0	291	0	3340	0	10440	103	4464	118	57	157	9	1856	0	0	6006	0	504	9	114	272	84	685	295	17410	5914	2817	9135	6439	5639	293	4976	30137	1002	14	9791	1000	469243	0	187791	299422	2105	24089	55	2	0	244412	7	23723	95	40314	2	0	15	0	752	0	0	0	0	0	0	0	0	241	0	1	0	0	0	0	0	
0	4	297	7	0	0	0	0	4	0	0	0	0	0	0	0	174	0	5	1	261	6	0	0	0	0	2	0	11	2	1	13	0	0	2	10	56	0	6	2	17	2	131	2898	5	0	9	5	2672	0	77326	1817	3	25521	6	0	0	10845	2	6176	110	1986	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	9	416	376	299	325	2359	4	23	1	7	0	19	5	4837	0	19587	1207	9642	669	7	1543	189	1744	55	13	3958	944	117	50	233	40951	21	4330	3829	11640	10324	2662	18095	9447	45808	4300	3722	318	3145	6	6794	5331	0	0	162067	56899	48869	10390	38	8	0	248920	129	2544	97	151584	17	1	2	0	4658	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	
0	2011	2720	11114	48	53	15728	1	327	2	34	0	2355	1	6523	1	127236	74766	7728	1085	11232	4505	3879	10459	57	302	28207	11	1415	3	918	62680	65549	100893	886	144504	21510	10464	306127	21366	125199	793	375241	65093	4986	138	9514	5414	14	0	2873053	2017907	283724	592351	3963	135696	8	2372723	83581	335351	1942	1645745	13563	1	1805	0	1028	0	0	4	0	0	0	0	0	935	0	0	0	0	0	0	0	
0	1	304	130	23	35	1573	3	18	0	48	0	28	0	1731	0	26622	153	9473	132	102	20625	93	105	3	24	2123	2	453	0	144	9723	22	2802	70	40499	4675	80	20177	3413	158610	1706	16530	36455	620	34	2810	791	2	0	1139968	178011	95459	7295	604	13	0	753617	657	3018	64	102996	11	4	10	0	66	0	0	1	0	0	0	0	0	70	0	0	0	0	0	0	0	
0	382	844	353	73	161	2886	3	1647	2	5	0	14	0	4194	0	130039	17730	10103	1440	292	1123	1057	1435	9	58	7152	0	993	2	15557	21094	13	7432	619	157968	32460	28304	13215	1346	44360	9678	219652	238657	55498	59	70403	8180	4	0	814378	1364965	176561	496283	63826	39858	2	2439119	11479	97822	16210	1019315	162	11	1705	4	13847	0	0	4	0	0	0	0	0	205	0	0	0	0	0	0	0	
0	58	475	522	9	42	922	0	28	0	2	0	5	0	1792	1	20904	185	1482	789	2	234	724	801	7	12	2277	0	796	0	188	22186	1	2032	239	78981	2966	55	52837	4486	8475	400	275164	2412	3369	112	7694	3816	1	0	654567	215828	117504	157719	11608	5923	0	182427	2711	15245	333	474577	35	0	1113	5	147	0	0	3	0	0	0	0	0	79	0	0	0	0	0	0	0	
0	52	8245	6034	242	5461	57827	196	2139	12	9	0	4449	3	161914	0	195127	3713	109658	2033	126	11628	7661	82658	467	571	102483	261	16856	38	133	246265	5225	85231	3262	134536	92527	9972	129672	40424	138457	21311	67036	36215	29865	13035	116223	14609	15	0	2687515	2755066	359230	457892	9951	6059	7	2467324	50712	451307	19359	3193511	233	8	5979	35	149478	0	0	10	1	0	0	0	0	6955	0	0	0	2	0	0	0	
0	2410	1038	352	135	107	2023	2	57	0	20	0	61	0	3330	0	190982	457	7251	98	2700	13545	19503	91453	348	24404	38299	625	84552	153	35512	243092	78438	135205	829	282961	8116	173	16211	6661	19823	11679	1453608	57601	35182	12387	69040	16460	152	0	1748218	367775	42251	601205	133372	36312	0	481333	1538	113476	57121	2110246	591	10	183583	7	24329	0	0	5	0	0	0	0	0	149	0	0	0	0	0	0	0	
0	173	55	69	4	2507	289	2	455	0	0	0	1433	0	756	0	5380	3981	7732	7	6	95	142	6788	53	0	19939	13	1794	20	902	58703	83	867	13	6414	813	1089	1268	87	282	602	73288	153945	537	39	16785	134	3	0	181781	238194	2417	96385	1008	6	0	238382	296	81543	1482	78735	214	0	607	1	3021	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	
0	515	293546	412	60	42	64019	1	5085	3	5	0	276	15	5448	0	153407	3470	20762	1018	40948	44487	203040	37888	32	6037	16219	47	30078	199	13993	68883	2218	98304	30140	423688	62627	128	86132	10343	19043	9988	532188	630996	82099	257	415131	168298	231	0	3161316	2243236	173346	274749	290	138088	3	2203996	83348	176866	5273	830310	4714	1	74537	12	61183	0	0	3	0	0	0	1	0	312	0	0	0	0	0	0	0	
0	69	223	66	27	45	313	0	13	2	0	0	15	0	692	0	20549	12	4629	3	9923	143	34	2909	1	158	5291	2	327	12	784	317	6	6836	678	6376	1562	98	98870	274	2132	6719	80634	4710	917	111	3358	64	0	0	1092965	542562	39652	78797	73708	1504	0	170186	1399	120210	3145	58998	627	2	284	2	45736	0	0	11	0	0	0	0	0	68	0	0	0	0	0	0	0	
0	89	1498	779	162	1569	11500	1148	1286	2	13	0	7040	4	10428	0	134561	1888	33751	7954	43659	12512	7654	38286	4524	20604	14742	1965	18611	8	50010	288655	2378	74732	273947	709011	50366	4049	97748	5071	30859	31949	284691	185910	23475	703	157876	149549	28	0	2401388	946949	271917	457895	142913	112219	5	956615	2078	231289	22738	830108	8667	4	8149	2	306857	0	0	1	0	0	0	0	0	437	0	0	0	0	0	0	0	
0	77	1630	482	39	73	29664	59	87	0	3	0	41	0	8285	0	135255	27265	6945	200	1028	1945	183	11274	211	681	19802	7	103	2	240	92147	41377	100638	1266	138276	25852	3799	224259	4562	145196	3471	45639	940	9414	124	34708	4018	797706	0	2247172	33532	1074	314255	3569	45	0	768422	421	385430	23389	33516	4396	5	86	0	18951	0	0	4	0	0	0	0	0	341	0	0	0	0	0	0	0	
0	195	29822	1557	287	7291	115104	37	2207	2	239	0	4046	23	183410	2	646775	21052	53324	5521	18874	89205	174615	61440	1382	8667	63737	174	6641	5	455388	964323	136210	177913	131886	152430	228341	56878	445323	62224	271010	48825	38829	186740	140841	3997	228007	187735	25	0	3589893	1827490	730047	673667	41326	57	0	3807768	764	448848	2510	2804981	1526	1	103	7	220837	0	0	0	0	0	0	5	0	3497	0	0	0	5	0	0	0	
0	77	8274	642	148	1854	14775	2	626	0	0	0	1689	0	16220	0	266807	5012	43999	5961	17675	18636	75386	20283	762	4563	49019	42	13712	384	810	214633	2436	27164	3558	195133	30354	12586	132447	19630	90935	8783	26681	49256	7789	149	37352	7922	31	0	1968661	950494	211384	115334	246	3	0	2693000	415	590660	1992	494848	79	1	15904	0	110034	0	0	3	0	0	0	0	0	2090	0	0	0	0	0	0	0	
0	129	16860	519	30	59	6382	1	30	1	0	0	83	0	6659	0	107361	4115	22689	96	24061	2888	587	3595	206	2	33870	78	109	0	481	78978	33	5032	1018	249487	23254	9559	38889	2200	23452	5148	85766	18948	3326	229	10417	74024	2	0	470245	658882	116273	451393	11122	11845	0	741750	5752	108061	2648	625808	39	2	28	3	6978	0	0	1	0	0	0	0	0	798	0	0	0	0	0	0	0	
0	16	176	187	24	13	3352	0	4	0	1	0	14	1	2386	0	88289	356	3041	22	866	542	523	12004	4	22	6110	14	1063	5	187151	50863	50	37072	2496	10668	5724	147	4220	4641	63495	11388	16224	831	531	3788	3829	612	6	0	268413	117800	27776	32236	77	3	0	376687	36	31273	99	704624	483	0	5499	18	132758	0	0	0	0	0	0	0	0	288	0	0	0	0	0	0	0	
